age,artist,designer,dominio,imagem,mecanicas,media,notaRank,notas,numOfPlayers,position,timeOfPlay,title,year
 10 + ,"Erika Binz-Blanke,Rene Habermacher,Franz Vohwinkel,Thomas Weiss","Manfred Burggraf,Dorothy Garrels,Wolf Hoermann,Fritz Ifland,Werner Scheerer,Werner Schlegel",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/11851_t.jpg,"Jogo em Equipe,Movimento Ponto-a-Ponto,Posicionamento Secreto,Dedução",7.34,6.53,22,3 a 6 jogadores ,1733º,45 min,Scotland Yard 1983, (1983)
 10 + ,"Arnaud Demaegd,Legruth","Alice Carroll,Cyril Demaegd",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/14476_t.jpg,"Cooperativo,Narração de Histórias",7.52,6.53,18,1 a 6 jogadores ,1731º,75 min,Unlock! Squeek & Sausage, (2017)
 14 + ,"Giorgio Baroni,Giulia Ghigini","Hjalmar Hach,Lorenzo Silva",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/22471_t.jpg,"Negociação,Votação",8.30,6.53,10,3 a 5 jogadores ,1735º,60 min,The King's Dilemma, (2019)
 10 + ,Lucas Ribeiro,"Warny Marçano,Fel Barros",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/8791_t.jpg,"Gestão de Mão,Colecionar Componentes,Vazas/Truques,Force sua sorte,Seleção de Cartas,Toma essa",6.62,6.50,138,3 a 6 jogadores ,1800º,20 min,Sapotagem, (2015)
 6 + ,Oliver Freudenreich,Haim Shafir,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/3882_t.jpg,"Ação Simultânea,Eliminação de Jogadores,Reconhecimento de Padrão,Tempo real",6.80,6.53,66,2 a 6 jogadores ,1730º,10 min,Halli Galli, (1990)
 12 + ,Franz Vohwinkel,"Michael Kiesling,Wolfgang Kramer",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/792_t.jpg,"Colocação de Peças,Controle/Influência de Área,Sistema de Pontos de Ação",7.59,6.55,18,2 a 4 jogadores ,1686º,120 min,Java, (2000)
 10 + ,,Leandro Pires,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10401_t.jpg,"Gestão de Mão,Seleção de Cartas",8.13,6.52,11,2 a 6 jogadores ,1742º,60 min,Ziriguidum, (2016)
 10 + ,"Wayne Barrett,John Kovalic,Philip Reed",Steve Jackson (I),Jogos Expert,https://storage.googleapis.com/ludopedia-capas/3742_t.jpg,"Negociação,Jogadores com Diferentes Habilidades,Rolagem de Dados",7.24,6.53,25,3 a 6 jogadores ,1732º,90 min,Star Munchkin, (2002)
 10 + ,Dennis Lohausen,Johannes Schmidauer-König,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/8297_t.jpg,"Gestão de Mão,Construção de Baralho/Peças",8.17,6.50,10,2 a 5 jogadores ,1798º,40 min,Portal of Heroes (Die Portale von Molthar), (2015)
 10 + ,,Manuel Meireles,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1016_t.jpg,"Movimento Ponto-a-Ponto,Simulação,Gestão de Mão,Marcadores e Hexágonos",6.89,6.50,43,2 a 6 jogadores ,1795º,120 min,Cockpit, (1991)
