age,artist,designer,dominio,imagem,mecanicas,media,notaRank,notas,numOfPlayers,position,timeOfPlay,title,year
 12 + ,"Alexandr Elichev,Josh T. McDowell,Alvaro Nebot",Isaac Childres,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8624_t.jpg,"Ação Simultânea,Gestão de Mão,Cooperativo,Jogadores com Diferentes Habilidades,Movimento em Grades,Tabuleiro Modular,RPG",9.19,8.99,512,1 a 4 jogadores ,1º,120 min,Gloomhaven, (2017)
 14 + ,Dennis Lohausen,"Jens Drögemüller,Helge Ostertag",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13749_t.jpg,"Construção de Rotas,Jogadores com Diferentes Habilidades,Ordem de Fases Variável,Tabuleiro Modular",9.07,8.96,898,1 a 4 jogadores ,3º,150 min,Gaia Project, (2017)
 13 + ,"Lina Cossette,Peter Dennis,David Forest,Eckhard Freytag,Damien Mammoliti",Martin Wallace,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13196_t.jpg,"Construção de Rotas,Gestão de Mão",9.16,8.88,346,2 a 4 jogadores ,6º,180 min,Brass: Lancashire, (2017)
 12 + ,Andreas Resch,Alexander Pfister,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10168_t.jpg,"Gestão de Mão,Colocação de Peças,Construção de Baralho/Peças,Movimento Ponto-a-Ponto,Colecionar Componentes,Pegar e Entregar",8.93,8.85,1192,2 a 4 jogadores ,7º,150 min,Great Western Trail, (2016)
 12 + ,Franz Vohwinkel,Andreas Seyfarth,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/48_t.jpg,Ordem de Fases Variável,8.88,8.85,2793,2 a 5 jogadores ,11º,90 min,Puerto Rico, (2002)
 12 + ,"Julien Delval,Harald Lieske",Stefan Feld,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/187_t.jpg,"Colecionar Componentes,Colocação de Peças,Rolagem de Dados,Construção a partir de Modelo,Jogadores com Diferentes Habilidades,Marcadores e Hexágonos,Tabuleiro Modular",8.92,8.85,1498,2 a 4 jogadores ,8º,90 min,The Castles of Burgundy, (2011)
 13 + ,"Viktor Csete,Rodger B. MacGowan,Guillaume Ries,Mark Simonitch","Ananda Gupta,Jason Matthews",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/503_t.jpg,"Ação Simultânea,Gestão de Mão,Campanha/ Batalhas Dirigidas por Cartas,Controle/Influência de Área,Rolagem de Dados",8.94,8.83,925,2 jogadores ,13º,180 min,Twilight Struggle, (2005)
 14 + ,"Lina Cossette,David Forest,Damien Mammoliti","Gavan Brown,Matt Tolman,Martin Wallace",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13494_t.jpg,"Construção de Rotas,Gestão de Mão",9.11,8.93,547,2 a 4 jogadores ,5º,120 min,Brass: Birmingham, (2018)
 14 + ,"Matt Allsopp,David Ardila,Balaskas,Tiziano Baracchi,Ryan Barger,Jorge Barrero,Cassandre Bolan,Jon Bosco,Matt Bradbury,Adam Burn,Alexandre Dainche,Christina Davis,Anthony Devine,Allen Douglas,Edge Studio,Jose Mikhail Elloso,Tony Foti,Michele Frigo,Mariusz Gandzel,Zach Graves,Richard Hanuschek,Christopher Hosch,Andrew Johanson,Jeff Lee Johnson,Jason Juta,Adam Lane,Ignacio Bazán Lazcano,Ralph McQuarrie,Mark Molnar,Jake Murray,Ameen Naksewee,David A. Nash,Mike Nash,Maciej Rebisz,Alexandru Sabo,Tony Shasteen,Samuel Shimota,Stephen Somers,Matthew Starbuck,Nicholas Stohlman,Angela Sung,Darren Tan,Ryan Valle,Jose Vega,VIKO,Magali Villeneuve,Jacob Walker,Ben Zweifel",Corey Konieczka,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/9330_t.jpg,"Movimento de Área,Rolagem de Dados,Controle/Influência de Área,Gestão de Mão,Posicionamento Secreto,Jogadores com Diferentes Habilidades,Impulso de Área",9.00,8.84,574,2 a 4 jogadores ,12º,240 min,Star Wars: Rebellion, (2016)
 12 + ,"Jason Behnke,Loïc Billiau,Steffen Brand,Rocky Hammer,Sydni Kruger,Nolan Nasser,Jorge Ramos,Adam Rebottaro,Moro Rogers,Graham Sternberg,Shane Tyree,Joshua Wright",R. Eric Reuss,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10959_t.jpg,"Ação Simultânea,Gestão de Mão,Cooperativo,Jogadores com Diferentes Habilidades,Seleção de Cartas,Tabuleiro Modular",9.03,8.80,415,1 a 4 jogadores ,15º,120 min,Spirit Island, (2017)
 14 + ,Scott Schomburg,"Christian T. Petersen,Dane Beltrami,Corey Konieczka",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/14910_t.jpg,"Movimento de Área,Gestão de Mão,Jogadores com Diferentes Habilidades,Marcadores e Hexágonos,Negociação,Ordem de Fases Variável,Rolagem de Dados,Sistema de Pontos de Ação,Tabuleiro Modular,Votação,Impulso de Área,Controle/Influência de Área",9.11,8.85,364,3 a 6 jogadores ,10º,480 min,Twilight Imperium (Fourth Edition), (2017)
 12 + ,Isaac Fryxelius,Jacob Fryxelius,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8858_t.jpg,"Gestão de Mão,Colocação de Peças,Jogadores com Diferentes Habilidades,Seleção de Cartas,Colecionar Componentes",9.00,8.95,2005,1 a 5 jogadores ,4º,120 min,Terraforming Mars, (2016)
 10 + ,Michael Menzel,Bernd Brunnhofer,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1_t.jpg,"Alocação de Trabalhadores,Colecionar Componentes,Rolagem de Dados,Seleção de Cartas",8.55,8.50,1904,2 a 4 jogadores ,49º,60 min,Stone Age, (2008)
 14 + ,Dennis Lohausen,"Jens Drögemüller,Helge Ostertag",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/404_t.jpg,"Jogadores com Diferentes Habilidades,Construção de Rotas,Controle/Influência de Área,Ordem de Fases Variável",9.04,8.99,2036,2 a 5 jogadores ,2º,100 min,Terra Mystica, (2012)
 10 + ,Miguel Coimbra,"Antoine Bauza,Bruno Cathala",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8285_t.jpg,"Colecionar Componentes,Seleção de Cartas",8.87,8.82,2007,2 jogadores ,14º,30 min,7 Wonders Duel, (2015)
 12 + ,"Eric Belisle,Steven Belledin,Zoltan Boros,Noah Bradley,Eric Deschamps","Peter Lee,Rodney Thompson",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/98_t.jpg,"Alocação de Trabalhadores,Colecionar Componentes",8.59,8.52,1163,2 a 5 jogadores ,46º,60 min,Lords of Waterdeep, (2012)
 12 + ,Klemens Franz,Uwe Rosenberg,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10672_t.jpg,"Gestão de Mão,Alocação de Trabalhadores,Seleção de Cartas",8.64,8.51,683,1 a 4 jogadores ,47º,120 min,Agricola (revised edition), (2016)
 10 + ,Miguel Coimbra,Antoine Bauza,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/8_t.jpg,"Ação Simultânea,Colecionar Componentes,Jogadores com Diferentes Habilidades,Seleção de Cartas,Gestão de Mão",8.54,8.51,2974,2 a 7 jogadores ,48º,30 min,7 Wonders, (2010)
 12 + ,Klemens Franz,Uwe Rosenberg,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13_t.jpg,"Gestão de Mão,Alocação de Trabalhadores,Seleção de Cartas",8.57,8.50,1243,1 a 5 jogadores ,50º,120 min,Agricola, (2007)
 14 + ,Klemens Franz,Uwe Rosenberg,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1860_t.jpg,"Alocação de Trabalhadores,Colocação de Peças",8.65,8.52,669,1 a 7 jogadores ,44º,210 min,Caverna: The Cave Farmers, (2013)
 10 + ,"Kwanchai Moriya,Peter Wocken","Jonathan Gilmour,Brian Lewis",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13008_t.jpg,"Alocação de Trabalhadores,Colecionar Componentes,Rolagem de Dados,Ordem de Fases Variável",8.75,8.52,371,1 a 4 jogadores ,45º,120 min,Dinosaur Island, (2017)
 12 + ,Klemens Franz,Juma Al-JouJou,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13588_t.jpg,"Construção de Rotas,Controle/Influência de Área,Especulação Financeira,Jogadores com Diferentes Habilidades,Tabuleiro Modular",8.96,8.85,922,1 a 4 jogadores ,9º,120 min,Clans of Caledonia, (2017)
 10 + ,"Franz Vohwinkel,Mariusz Gandzel,Paul Mafayon,Christophe Swal","Michael Kiesling,Wolfgang Kramer",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1089_t.jpg,"Colecionar Componentes,Colocação de Peças,Controle/Influência de Área,Leilão,Sistema de Pontos de Ação,Tabuleiro Modular",8.63,8.53,807,2 a 4 jogadores ,40º,90 min,Tikal, (1999)
 12 + ,Harald Lieske,"Michael Keller (II),Andreas ""ode."" Odendahl",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/4699_t.jpg,"Gestão de Mão,Rolagem de Dados,Controle/Influência de Área,Jogadores com Diferentes Habilidades,Ação Simultânea,Alocação de Trabalhadores",8.69,8.53,522,1 a 4 jogadores ,41º,120 min,La Granja, (2014)
 8 + ,Julien Delval,Alan R. Moon,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/133_t.jpg,"Gestão de Mão,Colocação de Peças,Construção de Rotas,Seleção de Cartas",8.59,8.55,1749,2 a 5 jogadores ,39º,60 min,Ticket to Ride: Europe, (2005)
 13 + ,Milan Vavron,"Simone Luciani,Daniele Tascini",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/422_t.jpg,"Colecionar Componentes,Alocação de Trabalhadores",8.62,8.53,867,2 a 4 jogadores ,42º,90 min,Tzolk'in: The Mayan Calendar, (2012)
 12 + ,"Uwe Rosenberg,Klemens Franz",Uwe Rosenberg,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/95_t.jpg,"Colecionar Componentes,Alocação de Trabalhadores,Seleção de Cartas",8.39,8.27,617,1 a 5 jogadores ,96º,100 min,Le Havre, (2008)
 14 + ,"Mateusz Bielski,Mateusz Lenart,Piotr Słaby,Tomasz Bentkowski,Zhao Run Quan,Michal J. Zielinski",Ignacy Trzewiczek,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/366_t.jpg,"Ação Simultânea,Colecionar Componentes,Alocação de Trabalhadores,Seleção de Cartas,Cooperativo,Jogadores com Diferentes Habilidades,Movimento de Área,Narração de Histórias,Rolagem de Dados,Tabuleiro Modular",8.60,8.52,1054,1 a 4 jogadores ,43º,120 min,Robinson Crusoe: Adventures on the Cursed Island, (2012)
 13 + ,"Peter Dennis,Eckhard Freytag",Martin Wallace,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/506_t.jpg,"Gestão de Mão,Construção de Rotas",8.68,8.28,192,3 a 4 jogadores ,95º,120 min,Brass, (2007)
 12 + ,"Naomi Robinson,Vital Lacerda",Vital Lacerda,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/17542_t.jpg,"Alocação de Trabalhadores,Especulação Financeira,Ordem de Fases Variável,Sistema de Pontos de Ação",8.66,8.27,195,2 a 4 jogadores ,98º,120 min,Kanban: Driver's Edition, (2017)
 14 + ,"J. Lonnee,Chris Raimo,Milan Vavron",Vlaada Chvátil,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/17559_t.jpg,"Colocação de Peças,Construção de Baralho/Peças,Cooperativo,Gestão de Mão,Jogadores com Diferentes Habilidades,Movimento em Grades,Rolagem de Dados,RPG,Seleção de Cartas,Tabuleiro Modular",9.07,8.77,320,1 a 5 jogadores ,17º,150 min,Mage Knight: Ultimate Edition, (2018)
 14 + ,Anders Finer,"Nikki Valens,Kevin Wilson,Richard Launius",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/19358_t.jpg,"Cooperativo,Jogadores com Diferentes Habilidades,Rolagem de Dados,Tabuleiro Modular",8.78,8.28,152,1 a 6 jogadores ,94º,180 min,Arkham Horror (Third Edition), (2018)
 14 + ,Karl Kopinski,Eric M. Lang,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/13930_t.jpg,"Alocação de Trabalhadores,Controle/Influência de Área,Gestão de Mão,Leilão,Force sua sorte,Memória,Toma essa,Colecionar Componentes",8.43,8.28,517,2 a 5 jogadores ,92º,90 min,The Godfather: Corleone's Empire, (2017)
 8 + ,"Julien Delval,Cyrille Daujean",Alan R. Moon,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/4176_t.jpg,"Construção de Rotas,Gestão de Mão,Colecionar Componentes",8.61,8.29,243,2 a 5 jogadores ,90º,60 min,Ticket to Ride: 10th Anniversary, (2014)
 10 + ,Pascal Quidault,Marc André,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/3607_t.jpg,"Seleção de Cartas,Colecionar Componentes",8.32,8.26,1443,2 a 4 jogadores ,100º,30 min,Splendor, (2014)
 8 + ,"Nicolas Fructus,Picksel,Yuio,Joël Van Aerde",Antoine Bauza,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/593_t.jpg,"Colocação de Peças,Construção a partir de Modelo,Rolagem de Dados,Sistema de Pontos de Ação,Tabuleiro Modular,Movimento em Grades",8.31,8.27,2018,2 a 4 jogadores ,97º,45 min,Takenoko, (2011)
 10 + ,"Michael Menzel,Volkan Baga,Tanja Donner,Pete Fenlon,Jason Hawkins,Michaela Kienle,Harald Lieske,Marion Pott,Matt Schwabel,Franz Vohwinkel,Stephen Graham Walsh",Klaus Teuber,"Jogos Expert,Jogos Familiares",https://storage.googleapis.com/ludopedia-capas/397_t.jpg,"Gestão de Mão,Construção de Rotas,Negociação,Rolagem de Dados,Tabuleiro Modular",8.16,8.14,3081,3 a 4 jogadores ,148º,90 min,The Settlers of Catan, (1995)
 14 + ,Ian O'Toole,Vital Lacerda,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/9368_t.jpg,"Alocação de Trabalhadores,Ordem de Fases Variável,Controle/Influência de Área",8.81,8.14,108,2 a 4 jogadores ,149º,90 min,Vinhos Deluxe Edition, (2016)
 8 + ,Klemens Franz,Uwe Rosenberg,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/6876_t.jpg,"Colocação de Peças,Linha de Tempo",8.33,8.26,1083,2 jogadores ,99º,15 min,Patchwork, (2014)
 13 + ,Josh Cappel,"Carl de Visser,Jarratt Gray",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/14986_t.jpg,"Colecionar Componentes,Controle/Influência de Área,Seleção de Cartas",8.58,8.29,268,2 a 5 jogadores ,91º,90 min,Endeavor: Age of Sail, (2018)
 13 + ,"Luis Francisco,Piotr Haraszczak,Jordy Knoop,George Patsouras,Michael Rasmussen",Don Eskridge,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/780_t.jpg,"Ação Simultânea,Jogo em Equipe,Votação,Atuação,Jogadores com Diferentes Habilidades,Blefe,Dedução,Posicionamento Secreto",8.16,8.13,2331,5 a 10 jogadores ,150º,30 min,The Resistance, (2009)
 10 + ,Víctor Pérez Corbella,Ole Steiness,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8144_t.jpg,"Alocação de Trabalhadores,Colecionar Componentes,Rolagem de Dados,Jogadores com Diferentes Habilidades",8.42,8.15,266,2 a 4 jogadores ,144º,90 min,Champions of Midgard, (2015)
 14 + ,Orly Wanders,"Bianca Melyna,Moisés Pacheco",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/9463_t.jpg,"Alocação de Trabalhadores,Colecionar Componentes,Pegar e Entregar",8.43,8.14,251,2 a 4 jogadores ,146º,60 min,Grasse, (2018)
 18 + ,"Michał Oracz,Paweł Niziołek","Michał Oracz,Jakub Wiśniewski",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10595_t.jpg,"Alocação de Trabalhadores,Cooperativo,RPG,Narração de Histórias,Simulação,Negociação",8.40,8.15,288,1 a 6 jogadores ,141º,120 min,This War of Mine: The Board Game, (2017)
 12 + ,"Juliet Breese,Jo Breese","Sebastian Bleasdale,Richard Breese",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/305_t.jpg,"Pegar e Entregar,Colecionar Componentes,Alocação de Trabalhadores,Construção de Rotas,Leilão,Tabuleiro Modular,Colocação de Peças",8.42,8.28,573,2 a 6 jogadores ,93º,90 min,Keyflower, (2012)
 8 + ,"Cyrille Daujean,Julien Delval,Don Perrin,Claude Rica",Richard Borg,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/101_t.jpg,"Gestão de Mão,Campanha/ Batalhas Dirigidas por Cartas,Rolagem de Dados,Tabuleiro Modular",8.40,8.14,282,2 jogadores ,147º,60 min,Memoir ‘44, (2004)
 12 + ,Milan Vavron,Vladimír Suchý,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/18404_t.jpg,"Alocação de Trabalhadores,Construção de Rotas,Tabuleiro Modular",8.52,8.15,195,1 a 4 jogadores ,138º,150 min,Underwater Cities, (2018)
 14 + ,Henning Ludvigsen,"Raphaël Guiton,Jean-Baptiste Lullien,Nicolas Raoult",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/17514_t.jpg,"Cooperativo,Jogadores com Diferentes Habilidades,Rolagem de Dados,Sistema de Pontos de Ação,Tabuleiro Modular",8.70,8.15,130,1 a 6 jogadores ,142º,60 min,Zombicide: Invader, (2019)
 8 + ,"Matthias Catrein,Julien Delval,Ryan Laukat,Harald Lieske,Michael Menzel,Marcel-André Casasola Merkle,Claus Stephan,Christof Tisch",Donald X. Vaccarino,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/73_t.jpg,"Gestão de Mão,Construção de Baralho/Peças,Seleção de Cartas",8.24,8.15,796,2 a 4 jogadores ,143º,30 min,Dominion, (2008)
 14 + ,Mackenzie Schubert,"Mike Boxleiter,Tommy Maranges,Max Temkin",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/9902_t.jpg,"Jogo em Equipe,Votação",8.36,7.99,180,5 a 10 jogadores ,198º,20 min,Secret Hitler, (2016)
 12 + ,"Roe Mesquita,Henry Chen,Cristiano Cuty",Leandro Pires,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/6926_t.jpg,"Alocação de Trabalhadores,Colecionar Componentes",8.09,7.99,642,2 a 5 jogadores ,200º,90 min,Rock'n Roll Manager, (2016)
 10 + ,Kwanchai Moriya,"Hal Duncan,Ruth Veevers",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/19210_t.jpg,"Tabuleiro Modular,Dedução,Reconhecimento de Padrão",8.37,7.99,176,3 a 5 jogadores ,196º,50 min,Cryptid, (2018)
 14 + ,Mihajlo Dimitrievski,Isaias Vallejo,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/7320_t.jpg,"Construção de Baralho/Peças,Rolagem de Dados,Seleção de Cartas",8.32,7.99,201,1 a 5 jogadores ,197º,45 min,Valeria: Card Kingdoms, (2015)
 8 + ,Chris Quilliams,Steffen Bogen,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/19876_t.jpg,"Apostas,Rolagem de Dados,Rolar e Mover,Force sua sorte",8.45,8.15,237,3 a 8 jogadores ,145º,45 min,Camel Up (second edition), (2018)
 8 + ,Alexander Francisco,Alexander Francisco,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/21976_t.jpg,"Force sua sorte,Gestão de Mão,Toma essa",9.52,7.99,44,2 a 4 jogadores ,193º,70 min,Kardnarök, (2020)
 14 + ,Alexander Jung,Stefan Feld,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/513_t.jpg,"Alocação de Trabalhadores,Colecionar Componentes,Rolagem de Dados",8.45,8.15,241,2 a 4 jogadores ,140º,90 min,Bora Bora, (2013)
 18 + ,,"Antoine Morfan,Thomas Rofidal",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/14534_t.jpg,Construção de Baralho/Peças,8.44,7.99,150,3 a 8 jogadores ,195º,60 min,Breaking Bad: The Board Game, (2017)
 14 + ,Giulia Ghigini,"Stefano Castelli,Andrea Crespi,Lorenzo Silva",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/8380_t.jpg,"Colecionar Componentes,Reconhecimento de Padrão",8.04,7.99,1165,2 a 4 jogadores ,199º,45 min,Potion Explosion, (2015)
 14 + ,Luis Francisco,"Sérgio Halaban,André Zatz",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/7067_t.jpg,"Force sua sorte,Toma essa,Gestão de Mão",8.05,7.99,1162,3 a 5 jogadores ,194º,45 min,Quartz, (2015)
 12 + ,Gjermund Bohne,"Eilif Svensson,Kristian Amundsen Østby",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/15539_t.jpg,"Colocação de Peças,Jogadores com Diferentes Habilidades,Rolagem de Dados,Colecionar Componentes",8.24,8.00,281,1 a 4 jogadores ,192º,60 min,Santa Maria, (2017)
 14 + ,"Fred Jordan,Atha Kanaani,Chris Quilliams","Matt Leacock,Chuck D. Yager",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/9867_t.jpg,"Gestão de Mão,Colecionar Componentes,Cooperativo,Jogadores com Diferentes Habilidades,Movimento Ponto-a-Ponto,Sistema de Pontos de Ação,Negociação",8.28,8.15,559,2 a 4 jogadores ,139º,40 min,Pandemic: Reign of Cthulhu, (2016)
 12 + ,"Jesper Ejsing,Jason Engle","Peter Lee,Mike Mearls,Bill Slavicsek",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/198_t.jpg,"Cooperativo,Jogadores com Diferentes Habilidades,Rolagem de Dados,RPG,Tabuleiro Modular",8.14,7.88,244,1 a 5 jogadores ,250º,60 min,Dungeons & Dragons: Wrath of Ashardalon Board Game, (2011)
 13 + ,"Nicolas Fructus,Édouard Guiton,Mathieu Harlaut,Eric Nouhaut","Raphaël Guiton,Jean-Baptiste Lullien,Nicolas Raoult",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/71_t.jpg,"Gestão de Mão,Cooperativo,Jogadores com Diferentes Habilidades,Rolagem de Dados,Tabuleiro Modular",8.04,8.01,2319,1 a 6 jogadores ,189º,150 min,Zombicide, (2012)
 10 + ,"Davide Corsi,Roberto Pitturru","Andrea Chiarvesio,Luca Iennaco",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/15044_t.jpg,"Alocação de Trabalhadores,Rolagem de Dados,Jogadores com Diferentes Habilidades",8.27,8.01,263,2 a 5 jogadores ,188º,120 min,Kingsburg (Second Edition), (2017)
 13 + ,"Luis Francisco,George Patsouras,Rafał Szyma",Don Eskridge,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/793_t.jpg,"Ação Simultânea,Jogo em Equipe,Votação,Jogadores com Diferentes Habilidades,Memória,Atuação,Blefe,Dedução,Negociação",8.16,8.00,421,5 a 10 jogadores ,191º,30 min,The Resistance: Avalon, (2012)
 13 + ,Henning Ludvigsen,Kevin Wilson,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/123_t.jpg,"Campanha/ Batalhas Dirigidas por Cartas,Jogadores com Diferentes Habilidades,Pedra, Papel e Tesoura,Tabuleiro Modular,Construção de Baralho/Peças,Gestão de Mão,Movimento em Grades,Negociação",8.20,7.88,198,2 a 4 jogadores ,245º,180 min,Sid Meier's Civilization: The Board Game, (2010)
 14 + ,"Hannah Cardoso,Mathieu Harlaut,Saeed Jalabi",Phil Walker-Harding,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/17906_t.jpg,"Gestão de Mão,Seleção de Cartas",8.08,7.88,316,2 a 4 jogadores ,247º,50 min,Gizmos, (2018)
 13 + ,"Edge Studio,Christopher Hosch,Adam Taubenheim,Ben Zweifel",Corey Konieczka,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/38_t.jpg,"Gestão de Mão,Cooperativo,Jogadores com Diferentes Habilidades,Rolagem de Dados,Tabuleiro Modular",8.19,7.89,213,1 a 4 jogadores ,242º,180 min,Gears of War: The Board Game, (2011)
 14 + ,"Nicolas Fructus,Édouard Guiton,Mathieu Harlaut,Miguel Coimbra,Antonio Maínez,Eric Nouhaut","Raphaël Guiton,Jean-Baptiste Lullien,Nicolas Raoult",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/501_t.jpg,"Gestão de Mão,Cooperativo,Jogadores com Diferentes Habilidades,Rolagem de Dados,Sistema de Pontos de Ação,Tabuleiro Modular",7.96,7.88,773,1 a 6 jogadores ,249º,60 min,Zombicide Season 2: Prison Outbreak, (2013)
 14 + ,"Nicolas Fructus,Édouard Guiton,Mathieu Harlaut,Eric Nouhaut","Raphaël Guiton,Jean-Baptiste Lullien,Nicolas Raoult",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/5252_t.jpg,"Gestão de Mão,Cooperativo,Jogadores com Diferentes Habilidades,Rolagem de Dados,Sistema de Pontos de Ação,Tabuleiro Modular,Jogo em Equipe",8.11,8.00,645,1 a 12 jogadores ,190º,60 min,Zombicide Season 3: Rue Morgue, (2015)
 13 + ,"Martin Hoffmann,Claus Stephan,Mirko Suzuki","Wei-Hwa Huang,Thomas Lehmann",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/5227_t.jpg,"Rolagem de Dados,Ação Simultânea,Construção de Baralho/Peças,Jogadores com Diferentes Habilidades,Ordem de Fases Variável",8.18,7.88,211,2 a 5 jogadores ,248º,45 min,Roll for the Galaxy, (2014)
 8 + ,Chris Quilliams,"Jesús Torres Castro,Matt Leacock",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/10546_t.jpg,"Gestão de Mão,Colecionar Componentes,Cooperativo,Jogadores com Diferentes Habilidades,Movimento Ponto-a-Ponto,Sistema de Pontos de Ação",8.60,7.90,91,2 a 5 jogadores ,238º,45 min,Pandemic Iberia, (2016)
 8 + ,Cinyee Chiu,"Hjalmar Hach,Luca Ricci,Lorenzo Silva",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/15200_t.jpg,"Colocação de Peças,Construção a partir de Modelo,Reconhecimento de Padrão",8.09,7.90,337,2 a 4 jogadores ,240º,45 min,Dragon Castle, (2017)
 7 + ,John Ariosa,Jerry Hawthorne,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/329_t.jpg,"Cooperativo,Jogadores com Diferentes Habilidades,Movimento de Área,Narração de Histórias,Rolagem de Dados,RPG",7.95,7.89,978,1 a 4 jogadores ,243º,120 min,Mice and Mystics, (2012)
 12 + ,Ludovic Roudy,"Ludovic Roudy,Bruno Sautter",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8067_t.jpg,"Narração de Histórias,Tabuleiro Modular,Campanha/ Batalhas Dirigidas por Cartas,Cooperativo",8.83,7.88,67,1 a 4 jogadores ,244º,1000 min,The 7th Continent, (2017)
 12 + ,Dennis Lohausen,Wolfgang Warsch,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/22240_t.jpg,"Construção de Baralho/Peças,Rolagem de Dados",8.33,7.90,150,2 a 4 jogadores ,236º,60 min,The Taverns of Tiefenthal, (2019)
 14 + ,Xavier Collette,"Bruno Cathala,Charles Chevallier",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/3570_t.jpg,"Gestão de Mão,Colecionar Componentes,Force sua sorte,Leilão,Seleção de Cartas",7.89,7.80,699,2 a 4 jogadores ,300º,60 min,Abyss, (2014)
 13 + ,Klemens Franz,Uwe Rosenberg,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/174_t.jpg,"Alocação de Trabalhadores,Colecionar Componentes,Colocação de Peças,Construção a partir de Modelo,Tabuleiro Modular",8.63,7.91,89,1 a 4 jogadores ,235º,150 min,Ora et Labora, (2011)
 8 + ,Dennis Lohausen,Steffen Bogen,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/3716_t.jpg,"Apostas,Rolagem de Dados,Rolar e Mover",7.89,7.81,764,2 a 8 jogadores ,298º,30 min,Camel Up, (2014)
